filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAT54077_05dfcd85_9.fast5	4a9c1c27-b82e-4e3a-bad3-8af48d495682	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	4	2	2463.735500	1.416750	1133	TRUE	2463.891750	1008	1.260500	453	12.296859	2.874109	89.156113	12.057303	89.156113	12.057303
FAT54077_05dfcd85_9.fast5	ebc14e04-6b80-405a-8910-00682e5b7ec6	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	400	4	2364.608000	1.343500	1074	FALSE	2364.725500	980	1.226000	511	6.075475	2.714591	93.231827	9.509986	93.231827	9.509986
FAT54077_05dfcd85_9.fast5	20b0543c-843e-4028-8bfb-2b7707be5bba	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	435	4	2508.722250	1.544750	1235	TRUE	2508.883500	1106	1.383500	473	11.430713	2.850760	94.760216	11.717661	94.760216	11.717661
FAT54077_05dfcd85_9.fast5	ac80020c-8c63-4b2d-9f65-53ca2a2f7e9c	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	382	1	2457.197500	1.518000	1214	TRUE	2457.233750	1185	1.481750	471	11.278035	2.781991	85.929512	12.227124	85.929512	12.227124
FAT54077_05dfcd85_9.fast5	95386acc-f86d-42f6-8f16-e8cdbc1b6e6f	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	121	4	2482.195500	0.992750	794	TRUE	2482.309250	703	0.879000	299	10.358981	2.789653	89.325935	12.566767	89.325935	12.566767
FAT54077_05dfcd85_9.fast5	e9186927-7106-4bcd-bef3-56d888fad768	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	263	3	2458.783500	1.936250	1549	FALSE	2458.796000	1539	1.923750	547	4.474679	2.366756	97.307533	9.679807	97.307533	9.679807
FAT54077_05dfcd85_9.fast5	b2982795-167d-444c-8987-cf60e0d0776a	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	84	1	2389.660500	3.980500	3184	FALSE	2389.725500	3132	3.915500	795	7.240096	2.393721	108.345909	11.887482	108.345909	11.887482
FAT54077_05dfcd85_9.fast5	9a716f52-ff14-45f6-986e-e466580120c1	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	310	3	2446.835500	1.453000	1162	TRUE	2446.855500	1146	1.433000	439	9.631701	2.688347	114.289650	12.227124	114.289650	12.227124
FAT54077_05dfcd85_9.fast5	c64fab6a-05b7-4dbc-b7ac-4c437419d098	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	452	4	2337.968750	1.158500	926	TRUE	2338.007500	895	1.119750	443	9.614847	2.881759	123.629814	12.227124	123.629814	12.227124
FAT54077_05dfcd85_9.fast5	93a5c604-8b10-4185-8ba6-1d67a97e4a45	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	37	4	2426.508750	2.039500	1631	TRUE	2426.595000	1562	1.953250	555	10.725180	2.675898	84.231300	12.227124	84.231300	12.227124
FAT54077_05dfcd85_9.fast5	f5f1abc5-71f5-48fe-85fc-e7c316686a53	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	43	3	2499.131250	3.651250	2921	TRUE	2499.207500	2860	3.575000	1148	10.102552	2.755580	86.778618	11.717661	86.778618	11.717661
FAT54077_05dfcd85_9.fast5	60deb212-25e5-4dfb-bf27-4644fd298555	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	18	2	2329.879250	3.039250	2431	TRUE	2329.980500	2350	2.938000	1071	13.247935	2.965244	96.458427	12.566767	96.458427	12.566767
FAT54077_05dfcd85_9.fast5	212efa32-aad5-417f-8c15-b2953aceb2a7	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	46	3	2414.431250	2.376000	1900	TRUE	2414.713750	1674	2.093500	552	9.182712	2.586223	94.420570	11.717661	94.420570	11.717661
FAT54077_05dfcd85_9.fast5	26467740-54c4-4789-a773-af137be6623a	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	425	1	2408.943500	1.570750	1256	TRUE	2409.007250	1205	1.507000	523	10.482158	2.848925	88.137192	12.227124	88.137192	12.227124
FAT54077_05dfcd85_9.fast5	cfda23b3-0cb9-4dca-b059-aed2cef373bf	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	172	1	2383.981000	1.506000	1204	FALSE	2384.139750	1077	1.347250	519	6.599628	2.663547	92.043076	10.359092	92.043076	10.359092
FAT54077_05dfcd85_9.fast5	ef029430-91c2-44d6-a02c-3c000bb0f38c	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	490	1	2384.770500	1.360750	1088	TRUE	2384.790500	1072	1.340750	469	10.737249	2.851685	94.250748	11.378018	94.250748	11.378018
FAT54077_05dfcd85_9.fast5	f89922af-ef5d-4dbc-815c-bc12895ec1ee	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	238	3	2525.250250	3.496750	2797	TRUE	2525.484000	2610	3.263000	1126	8.444759	2.780037	94.080933	11.038376	94.080933	11.038376
FAT54077_05dfcd85_9.fast5	6bcd3551-73fc-4056-855d-1172e014e549	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	293	4	2427.298250	1.811000	1448	TRUE	2427.404500	1363	1.704750	542	12.293178	2.773550	86.099335	12.057303	86.099335	12.057303
FAT54077_05dfcd85_9.fast5	eb964daf-e07a-442e-a9d0-e5b0b4b7f872	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	180	1	2506.103250	1.401750	1121	TRUE	2506.153250	1081	1.351750	503	8.570912	2.811769	88.816475	10.359092	88.816475	10.359092
FAT54077_05dfcd85_9.fast5	a6bac457-eeaa-4c3a-964f-721d3556dae3	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	178	1	2409.081500	1.509500	1207	TRUE	2409.130250	1168	1.460750	533	10.558584	2.877660	94.760216	11.208198	94.760216	11.208198
FAT54077_05dfcd85_9.fast5	98f81153-59d2-4ddc-995e-de5924932515	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	496	2	2439.851750	1.374500	1099	TRUE	2439.970500	1004	1.255750	485	9.150470	2.839941	89.835403	10.189270	89.835403	10.189270
